SETTLEMENTDATE,REGIONID,RRP
2025-07-01 23:45:00,VIC1,137.3817
2025-07-01 23:50:00,VIC1,137.85309
2025-07-01 23:55:00,VIC1,139.99914
2025-07-02 00:00:00,VIC1,139.99914
2025-07-02 00:05:00,VIC1,159.22
2025-07-02 00:10:00,VIC1,138.92228
2025-07-02 00:15:00,VIC1,136.88167
2025-07-02 00:20:00,VIC1,137.86187
2025-07-02 00:25:00,VIC1,144.90636
2025-07-02 00:30:00,VIC1,138.92228
2025-07-02 00:35:00,VIC1,144.8585
2025-07-02 00:40:00,VIC1,143.58553
2025-07-02 00:45:00,VIC1,145.99124
2025-07-02 00:50:00,VIC1,137.86187
2025-07-02 00:55:00,VIC1,126.35322
2025-07-02 01:00:00,VIC1,134.61929
2025-07-02 01:05:00,VIC1,144.53965
2025-07-02 01:10:00,VIC1,108.00249
2025-07-02 01:15:00,VIC1,113.45259
2025-07-02 01:20:00,VIC1,134.56709
2025-07-02 01:25:00,VIC1,120.01631
2025-07-02 01:30:00,VIC1,90.0
2025-07-02 01:35:00,VIC1,147.23436
2025-07-02 01:40:00,VIC1,129.98772
2025-07-02 01:45:00,VIC1,147.1343
2025-07-02 01:50:00,VIC1,90.0
2025-07-02 01:55:00,VIC1,147.45806
2025-07-02 02:00:00,VIC1,90.0
2025-07-02 02:05:00,VIC1,97.00147
2025-07-02 02:10:00,VIC1,125.8107
2025-07-02 02:15:00,VIC1,145.27529
2025-07-02 02:20:00,VIC1,90.0
2025-07-02 02:25:00,VIC1,135.18795
2025-07-02 02:30:00,VIC1,90.0
2025-07-02 02:35:00,VIC1,127.64425
2025-07-02 02:40:00,VIC1,86.46459
2025-07-02 02:45:00,VIC1,85.88
2025-07-02 02:50:00,VIC1,85.69444
2025-07-02 02:55:00,VIC1,90.0
2025-07-02 03:00:00,VIC1,85.88
2025-07-02 03:05:00,VIC1,85.95676
2025-07-02 03:10:00,VIC1,119.6
2025-07-02 03:15:00,VIC1,90.0
2025-07-02 03:20:00,VIC1,81.75953
2025-07-02 03:25:00,VIC1,85.88
2025-07-02 03:30:00,VIC1,90.0
2025-07-02 03:35:00,VIC1,82.10542
2025-07-02 03:40:00,VIC1,82.6371
2025-07-02 03:45:00,VIC1,79.72
2025-07-02 03:50:00,VIC1,79.72
2025-07-02 03:55:00,VIC1,79.72
2025-07-02 04:00:00,VIC1,79.72
2025-07-02 04:05:00,VIC1,74.83305
2025-07-02 04:10:00,VIC1,83.03894
2025-07-02 04:15:00,VIC1,72.96744
2025-07-02 04:20:00,VIC1,75.7785
2025-07-02 04:25:00,VIC1,83.11101
2025-07-02 04:30:00,VIC1,76.84515
2025-07-02 04:35:00,VIC1,74.00811
2025-07-02 04:40:00,VIC1,74.0243
2025-07-02 04:45:00,VIC1,74.10774
2025-07-02 04:50:00,VIC1,75.21804
2025-07-02 04:55:00,VIC1,77.78987
2025-07-02 05:00:00,VIC1,84.10792
2025-07-02 05:05:00,VIC1,83.44393
2025-07-02 05:10:00,VIC1,82.87786
2025-07-02 05:15:00,VIC1,82.87059
2025-07-02 05:20:00,VIC1,82.24862
2025-07-02 05:25:00,VIC1,84.27581
2025-07-02 05:30:00,VIC1,93.09819
2025-07-02 05:35:00,VIC1,97.59663
2025-07-02 05:40:00,VIC1,98.42502
2025-07-02 05:45:00,VIC1,122.7403
2025-07-02 05:50:00,VIC1,123.73777
2025-07-02 05:55:00,VIC1,127.92982
2025-07-02 06:00:00,VIC1,126.86068
2025-07-02 06:05:00,VIC1,124.91024
2025-07-02 06:10:00,VIC1,130.48645
2025-07-02 06:15:00,VIC1,160.0
2025-07-02 06:20:00,VIC1,160.0
2025-07-02 06:25:00,VIC1,163.03642
2025-07-02 06:30:00,VIC1,200.02
2025-07-02 06:35:00,VIC1,140.13531
2025-07-02 06:40:00,VIC1,159.87552
2025-07-02 06:45:00,VIC1,160.0
2025-07-02 06:50:00,VIC1,200.02
2025-07-02 06:55:00,VIC1,200.02
2025-07-02 07:00:00,VIC1,200.02
2025-07-02 07:05:00,VIC1,200.02
2025-07-02 07:10:00,VIC1,200.02
2025-07-02 07:15:00,VIC1,200.02
2025-07-02 07:20:00,VIC1,200.02
2025-07-02 07:25:00,VIC1,200.02
2025-07-02 07:30:00,VIC1,167.96758
2025-07-02 07:35:00,VIC1,200.02
2025-07-02 07:40:00,VIC1,185.72
2025-07-02 07:45:00,VIC1,160.10107
2025-07-02 07:50:00,VIC1,167.4
2025-07-02 07:55:00,VIC1,160.0
2025-07-02 08:00:00,VIC1,176.1301
2025-07-02 08:05:00,VIC1,185.04474
2025-07-02 08:10:00,VIC1,188.02331
2025-07-02 08:15:00,VIC1,178.61515
2025-07-02 08:20:00,VIC1,182.56594
2025-07-02 08:25:00,VIC1,181.63216
2025-07-02 08:30:00,VIC1,180.70787
2025-07-02 08:35:00,VIC1,185.55578
2025-07-02 08:40:00,VIC1,189.95206
2025-07-02 08:45:00,VIC1,218.33384
2025-07-02 08:50:00,VIC1,226.60124
2025-07-02 08:55:00,VIC1,268.69403
2025-07-02 09:00:00,VIC1,212.82718
2025-07-02 09:05:00,VIC1,242.35218
2025-07-02 09:10:00,VIC1,270.82
2025-07-02 09:15:00,VIC1,218.83618
2025-07-02 09:20:00,VIC1,209.49811
2025-07-02 09:25:00,VIC1,203.41658
2025-07-02 09:30:00,VIC1,196.19556
2025-07-02 09:35:00,VIC1,195.52272
2025-07-02 09:40:00,VIC1,190.43213
2025-07-02 09:45:00,VIC1,190.95085
2025-07-02 09:50:00,VIC1,212.20065
2025-07-02 09:55:00,VIC1,185.91692
2025-07-02 10:00:00,VIC1,189.34744
2025-07-02 10:05:00,VIC1,188.95716
2025-07-02 10:10:00,VIC1,187.45169
2025-07-02 10:15:00,VIC1,199.21583
2025-07-02 10:20:00,VIC1,184.98188
2025-07-02 10:25:00,VIC1,164.10264
2025-07-02 10:30:00,VIC1,161.58326
2025-07-02 10:35:00,VIC1,210.37791
2025-07-02 10:40:00,VIC1,189.86603
2025-07-02 10:45:00,VIC1,262.86897
2025-07-02 10:50:00,VIC1,189.34744
2025-07-02 10:55:00,VIC1,187.83887
2025-07-02 11:00:00,VIC1,186.35991
2025-07-02 11:05:00,VIC1,155.07387
2025-07-02 11:10:00,VIC1,154.44963
2025-07-02 11:15:00,VIC1,156.22781
2025-07-02 11:20:00,VIC1,148.41823
2025-07-02 11:25:00,VIC1,131.83346
2025-07-02 11:30:00,VIC1,157.4043
2025-07-02 11:35:00,VIC1,177.37275
2025-07-02 11:40:00,VIC1,159.22
2025-07-02 11:45:00,VIC1,159.88
2025-07-02 11:50:00,VIC1,160.0001
2025-07-02 11:55:00,VIC1,160.0001
2025-07-02 12:00:00,VIC1,177.9967
2025-07-02 12:05:00,VIC1,160.0001
2025-07-02 12:10:00,VIC1,174.27764
2025-07-02 12:15:00,VIC1,182.17447
2025-07-02 12:20:00,VIC1,179.8686
2025-07-02 12:25:00,VIC1,179.8686
2025-07-02 12:30:00,VIC1,179.30122
2025-07-02 12:35:00,VIC1,182.64276
2025-07-02 12:40:00,VIC1,227.97
2025-07-02 12:45:00,VIC1,180.74589
2025-07-02 12:50:00,VIC1,183.11346
2025-07-02 12:55:00,VIC1,182.17447
2025-07-02 13:00:00,VIC1,178.49003
2025-07-02 13:05:00,VIC1,227.97
2025-07-02 13:10:00,VIC1,270.90985
2025-07-02 13:15:00,VIC1,180.24925
2025-07-02 13:20:00,VIC1,182.09785
2025-07-02 13:25:00,VIC1,178.8496
2025-07-02 13:30:00,VIC1,167.35751
2025-07-02 13:35:00,VIC1,179.33895
2025-07-02 13:40:00,VIC1,177.0582
2025-07-02 13:45:00,VIC1,177.06758
2025-07-02 13:50:00,VIC1,178.8496
2025-07-02 13:55:00,VIC1,253.21487
2025-07-02 14:00:00,VIC1,180.28717
2025-07-02 14:05:00,VIC1,295.22
2025-07-02 14:10:00,VIC1,184.94297
2025-07-02 14:15:00,VIC1,183.94606
2025-07-02 14:20:00,VIC1,193.365
2025-07-02 14:25:00,VIC1,185.00133
2025-07-02 14:30:00,VIC1,187.95745
2025-07-02 14:35:00,VIC1,185.97964
2025-07-02 14:40:00,VIC1,160.0001
2025-07-02 14:45:00,VIC1,183.13296
2025-07-02 14:50:00,VIC1,185.02078
2025-07-02 14:55:00,VIC1,124.23995
2025-07-02 15:00:00,VIC1,157.0882
2025-07-02 15:05:00,VIC1,180.92368
2025-07-02 15:10:00,VIC1,160.0001
2025-07-02 15:15:00,VIC1,182.52753
2025-07-02 15:20:00,VIC1,198.66982
2025-07-02 15:25:00,VIC1,198.16221
2025-07-02 15:30:00,VIC1,199.18009
2025-07-02 15:35:00,VIC1,227.97
2025-07-02 15:40:00,VIC1,227.97
2025-07-02 15:45:00,VIC1,184.06218
2025-07-02 15:50:00,VIC1,295.22
2025-07-02 15:55:00,VIC1,184.06218
2025-07-02 16:00:00,VIC1,295.22
2025-07-02 16:05:00,VIC1,216.22521
2025-07-02 16:10:00,VIC1,190.39672
2025-07-02 16:15:00,VIC1,212.76644
2025-07-02 16:20:00,VIC1,241.96
2025-07-02 16:25:00,VIC1,241.96
2025-07-02 16:30:00,VIC1,208.82382
2025-07-02 16:35:00,VIC1,200.02
2025-07-02 16:40:00,VIC1,200.02
2025-07-02 16:45:00,VIC1,190.90321
2025-07-02 16:50:00,VIC1,213.23135
2025-07-02 16:55:00,VIC1,200.89
2025-07-02 17:00:00,VIC1,211.59368
2025-07-02 17:05:00,VIC1,188.27065
2025-07-02 17:10:00,VIC1,177.25642
2025-07-02 17:15:00,VIC1,180.94
2025-07-02 17:20:00,VIC1,190.11651
2025-07-02 17:25:00,VIC1,183.85
2025-07-02 17:30:00,VIC1,235.2
2025-07-02 17:35:00,VIC1,231.03558
2025-07-02 17:40:00,VIC1,235.2
2025-07-02 17:45:00,VIC1,233.13605
2025-07-02 17:50:00,VIC1,262.02277
2025-07-02 17:55:00,VIC1,237.99
2025-07-02 18:00:00,VIC1,237.99
2025-07-02 18:05:00,VIC1,235.81135
2025-07-02 18:10:00,VIC1,235.2
2025-07-02 18:15:00,VIC1,235.2
2025-07-02 18:20:00,VIC1,237.30566
2025-07-02 18:25:00,VIC1,237.16138
2025-07-02 18:30:00,VIC1,235.2
2025-07-02 18:35:00,VIC1,208.37502
2025-07-02 18:40:00,VIC1,207.355
2025-07-02 18:45:00,VIC1,220.82051
2025-07-02 18:50:00,VIC1,218.02798
2025-07-02 18:55:00,VIC1,235.2
2025-07-02 19:00:00,VIC1,235.2
2025-07-02 19:05:00,VIC1,201.69828
2025-07-02 19:10:00,VIC1,235.2
2025-07-02 19:15:00,VIC1,200.02
2025-07-02 19:20:00,VIC1,188.72825
2025-07-02 19:25:00,VIC1,200.02
2025-07-02 19:30:00,VIC1,224.45217
2025-07-02 19:35:00,VIC1,200.02
2025-07-02 19:40:00,VIC1,200.02
2025-07-02 19:45:00,VIC1,200.02
2025-07-02 19:50:00,VIC1,200.02
2025-07-02 19:55:00,VIC1,200.02
2025-07-02 20:00:00,VIC1,237.99
2025-07-02 20:05:00,VIC1,228.33156
2025-07-02 20:10:00,VIC1,228.87735
2025-07-02 20:15:00,VIC1,186.04155
