C,SETP.WORLD,DVD_DISPATCHPRICE,AEMO,PUBLIC,2025/08/08,09:36:13,001754609773098,MONTHLY_ARCHIVE,001754609773098
I,DISPATCH,PRICE,5,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,LASTCHANGED,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,PRICE_STATUS,PRE_AP_ENERGY_PRICE,PRE_AP_RAISE6_PRICE,PRE_AP_RAISE60_PRICE,PRE_AP_RAISE5MIN_PRICE,PRE_AP_RAISEREG_PRICE,PRE_AP_LOWER6_PRICE,PRE_AP_LOWER60_PRICE,PRE_AP_LOWER5MIN_PRICE,PRE_AP_LOWERREG_PRICE,CUMUL_PRE_AP_ENERGY_PRICE,CUMUL_PRE_AP_RAISE6_PRICE,CUMUL_PRE_AP_RAISE60_PRICE,CUMUL_PRE_AP_RAISE5MIN_PRICE,CUMUL_PRE_AP_RAISEREG_PRICE,CUMUL_PRE_AP_LOWER6_PRICE,CUMUL_PRE_AP_LOWER60_PRICE,CUMUL_PRE_AP_LOWER5MIN_PRICE,CUMUL_PRE_AP_LOWERREG_PRICE,OCD_STATUS,MII_STATUS,RAISE1SECRRP,RAISE1SECROP,RAISE1SECAPCFLAG,LOWER1SECRRP,LOWER1SECROP,LOWER1SECAPCFLAG,PRE_AP_RAISE1_PRICE,PRE_AP_LOWER1_PRICE,CUMUL_PRE_AP_RAISE1_PRICE,CUMUL_PRE_AP_LOWER1_PRICE
D,DISPATCH,PRICE,5,"2025/07/01 00:25:00",1,NSW1,20250630245,0,185.85217,0,185.85217,0,0,"2025/07/01 00:20:02",0.38,0.38,0,0.36,0.36,0,0.32,0.32,0,3.49,3.49,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,2,2,0,FIRM,185.85217,0.38,0.36,0.32,3.49,0.1,0.38,0.1,2,853080.41519,5634.42397,3115.26499,391.36803,17452.38648,489.56359,1032.13162,468.29231,4669.39198,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,798.0561,3.75
D,DISPATCH,PRICE,5,"2025/07/01 00:25:00",1,QLD1,20250630245,0,161.99002,0,161.99002,0,0,"2025/07/01 00:20:02",0.38,0.38,0,0.36,0.36,0,0.32,0.32,0,3.49,3.49,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,2,2,0,FIRM,161.99002,0.38,0.36,0.32,3.49,0.1,0.38,0.1,2,283238.79365,5634.42397,3115.26499,391.36803,17452.38648,489.56359,1032.13162,468.29231,4669.39198,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,798.0561,3.75
D,DISPATCH,PRICE,5,"2025/07/01 00:25:00",1,SA1,20250630245,0,190.27088,0,190.27088,0,0,"2025/07/01 00:20:02",0.38,0.38,0,0.36,0.36,0,0.32,0.32,0,3.49,3.49,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,2,2,0,FIRM,190.27088,0.38,0.36,0.32,3.49,0.1,0.38,0.1,2,843813.60812,5634.46397,3116.53499,391.37803,17452.39648,2599.49522,3131.6584,520.5809,4721.68057,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,798.0561,2848.66
D,DISPATCH,PRICE,5,"2025/07/01 00:25:00",1,TAS1,20250630245,0,190.35,0,190.35,0,0,"2025/07/01 00:20:02",0.38,0.38,0,0.36,0.36,0,0.32,0.32,0,7.72,7.72,0,0.38,0.38,0,0.38,0.38,0,0.1,0.1,0,2.27,2.27,0,FIRM,190.35,0.38,0.36,0.32,7.72,0.38,0.38,0.1,2.27,568517.80317,12515.54967,1007.29603,441.44803,202796.31965,4367.33961,979.77017,346.50449,17433.82705,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,706.14393,2.25
D,DISPATCH,PRICE,5,"2025/07/01 00:25:00",1,VIC1,20250630245,0,185.739,0,185.739,0,0,"2025/07/01 00:20:02",0.38,0.38,0,0.36,0.36,0,0.32,0.32,0,3.49,3.49,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,2,2,0,FIRM,185.739,0.38,0.36,0.32,3.49,0.1,0.38,0.1,2,887970.79409,5634.42397,3115.26499,391.36803,17452.38648,489.56359,1032.13162,468.29231,4669.39198,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,798.0561,3.75
D,DISPATCH,PRICE,5,"2025/07/01 00:30:00",1,NSW1,20250630246,0,185.97237,0,185.97237,0,0,"2025/07/01 00:25:02",0.38,0.38,0,0.38,0.38,0,0.38,0.38,0,3,3,0,0.1,0.1,0,0.38,0.38,0,0.3,0.3,0,3.49,3.49,0,FIRM,185.97237,0.38,0.38,0.38,3,0.1,0.38,0.3,3.49,853209.40756,5634.57397,3115.54499,391.64803,17455.28648,489.28359,1032.13162,468.49231,4671.85189,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,798.5361,3.75
D,DISPATCH,PRICE,5,"2025/07/01 00:30:00",1,QLD1,20250630246,0,161.99002,0,161.99002,0,0,"2025/07/01 00:25:02",0.38,0.38,0,0.38,0.38,0,0.38,0.38,0,3,3,0,0.1,0.1,0,0.38,0.38,0,0.3,0.3,0,3.49,3.49,0,FIRM,161.99002,0.38,0.38,0.38,3,0.1,0.38,0.3,3.49,283344.89421,5634.57397,3115.54499,391.64803,17455.28648,489.28359,1032.13162,468.49231,4671.85189,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,798.5361,3.75
D,DISPATCH,PRICE,5,"2025/07/01 00:30:00",1,SA1,20250630246,0,195.27228,0,195.27228,0,0,"2025/07/01 00:25:02",0.38,0.38,0,0.38,0.38,0,0.38,0.38,0,3,3,0,0.1,0.1,0,0.38,0.38,0,0.3,0.3,0,3.49,3.49,0,FIRM,195.27228,0.38,0.38,0.38,3,0.1,0.38,0.3,3.49,844022.60631,5634.61397,3116.81499,391.65803,17455.29648,2599.21522,3131.6584,520.7809,4724.14048,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,798.5361,2848.66
D,DISPATCH,PRICE,5,"2025/07/01 00:30:00",1,TAS1,20250630246,0,190.35,0,190.35,0,0,"2025/07/01 00:25:02",0.38,0.38,0,0.38,0.38,0,0.36,0.36,0,7.72,7.72,0,0.38,0.38,0,0.38,0.38,0,0.3,0.3,0,2.27,2.27,0,FIRM,190.35,0.38,0.38,0.36,7.72,0.38,0.38,0.3,2.27,568721.11478,12515.54967,1007.29603,441.44803,202794.96965,4367.33961,979.77017,346.80449,17271.70544,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,706.62393,2.25
D,DISPATCH,PRICE,5,"2025/07/01 00:35:00",1,SA1,20250630247,0,188.97878,0,188.97878,0,0,"2025/07/01 00:30:02",0.38,0.38,0,0.38,0.38,0,0.32,0.32,0,1.49,1.49,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,8.5,8.5,0,FIRM,188.97878,0.38,0.38,0.32,1.49,0.1,0.38,0.1,8.5,844219.07149,5634.89397,3117.15499,391.87803,17453.40648,2598.93522,3131.6584,520.5009,4732.26048,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,799.0161,2848.65
